city_name,country,latitude,longitude,observed_at_utc,aqi,co,no,no2,o3,so2,pm2_5,pm10,nh3,source,ingested_at_utc
Antananarivo,MG,-18.9137,47.5361,2026-07-27 07:00:00+00:00,2,126.02,0.05,0.18,61.34,0.29,5.1,7.17,0.69,openweather,2026-07-27 07:00:59.892332+00:00
Antsiranana,MG,-12.2787,49.2917,2026-07-27 07:00:00+00:00,1,90.23,0.09,0.22,45.54,0.12,3.06,4.89,0.23,openweather,2026-07-27 07:00:59.892332+00:00
Fianarantsoa,MG,-21.4527,47.0857,2026-07-27 07:00:00+00:00,1,70.82,0.02,0.11,50.55,0.05,1.19,2.42,0.03,openweather,2026-07-27 07:00:59.892332+00:00
Mahajanga,MG,-15.7167,46.3167,2026-07-27 07:00:00+00:00,1,112.57,0.02,0.11,55.34,0.14,6.68,12.26,0.22,openweather,2026-07-27 07:00:59.892332+00:00
Toamasina,MG,-18.1492,49.4023,2026-07-27 07:00:00+00:00,2,88.41,0.02,0.12,63.02,0.07,2.74,4.87,0.08,openweather,2026-07-27 07:00:59.892332+00:00
